[WORLD]
0.01,0.02,1,0
[MARKET]
55
BOND,Český státní dluhopis 5L,CZG05Y,4000,4000,0.045,1825
BOND,US Treasury Bond 10Y,UST10Y,1000,1000,0.042,3650
BOND,Apple Corporate Bond,AAPL27,2500,2500,0.038,1095
BOND,Německý státní dluhopis,GER02Y,4500,4500,0.025,730
BOND,ČEZ Firemní dluhopis,CEZ31,500,500,0.051,2555
BOND,High-Yield Spekulativní dluhopis,JUNK01,250,250,0.095,365
BOND,Japonský státní dluhopis,JGB10Y,4500,4500,0.008,3650
CMD,Gold,GOLD,2350.50,3,15.5
CMD,Natural Gas,NATGAS,2.485,1,2.1
CMD,Silver,SILVER,73.405,3,0.8
CMD,Copper,COPPER,4.50,2,0.8
CMD,Brent Crude Oil,BRENT,85.20,1,3.2
CMD,WTI Crude Oil,WTI,80.50,1,3.0
CMD,Wheat,WHEAT,620.40,0,12.5
CMD,Corn,CORN,450.20,0,10.0
CMD,Soybeans,SOY,1180.50,0,18.0
CMD,Platinum,PLAT,980.30,3,8.5
CMD,Palladium,PALL,1050.80,3,9.0
CMD,Aluminum,ALUM,2550.00,2,25.0
CMD,Coffee,COFFEE,215.30,0,5.5
CMD,Sugar,SUGAR,20.40,0,1.2
CMD,Cotton,COTTON,82.10,0,4.5
CRT,Bitcoin,BTC,65430.00,0.15
CRT,Binance Coin,BNB,590.20,0.18
CRT,Ripple,XRP,0.55,0.25
CRT,Cardano,ADA,0.45,0.28
CRT,Ethereum,ETH,2227.80,0.22
CRT,Solana,SOL,81.95,0.31
CRT,Dogecoin,DOGE,0.15,0.35
CRT,Polkadot,DOT,7.20,0.30
CRT,Polygon,MATIC,0.75,0.28
CRT,Litecoin,LTC,85.40,0.22
CRT,Chainlink,LINK,14.50,0.26
CRT,Avalanche,AVAX,35.80,0.32
CRT,Uniswap,UNI,7.80,0.34
CRT,Cosmos,ATOM,8.90,0.31
STC,Alphabet Inc,GOOGL,165.20,0.000,0.05
STC,Amazon.com Inc,AMZN,180.40,0.000,0.05
STC,Meta Platforms,META,490.10,0.004,0.06
STC,Tesla Inc,TSLA,195.80,0.000,0.09
STC,Berkshire Hathaway,BRK.B,410.50,0.000,0.02
STC,Palantir Technologies Inc,PLTR,134.70,0.000,0.07
STC,Eli Lilly and Co,LLY,780.00,0.006,0.04
STC,JPMorgan Chase,JPM,195.00,0.022,0.03
STC,Visa Inc,V,280.50,0.007,0.03
STC,Johnson & Johnson,JNJ,155.30,0.031,0.02
STC,Walmart Inc,WMT,60.50,0.014,0.02
STC,Procter & Gamble,PG,160.20,0.024,0.02
STC,Mastercard Inc,MA,460.80,0.005,0.03
STC,Exxon Mobil Corp,XOM,115.40,0.032,0.04
STC,Coca-Cola Co,KO,62.10,0.031,0.02
STC,PepsiCo Inc,PEP,172.40,0.029,0.02
STC,Netflix Inc,NFLX,610.20,0.000,0.07
STC,Pfizer Inc,PFE,28.50,0.059,0.03
STC,Walt Disney Co,DIS,112.30,0.000,0.04
[CLIENT]
,1000
[CONTRACT]
0

