[WORLD]
0.01,0.02,10,0
[MARKET]
55
BOND,Český státní dluhopis 5L,CZG05Y,4000,4000.000000,0.045000,1827
BOND,US Treasury Bond 10Y,UST10Y,1000,1000.000000,0.042000,3652
BOND,Apple Corporate Bond,AAPL27,2500,2500.000000,0.038000,1097
BOND,Německý státní dluhopis,GER02Y,4500,4500.000000,0.025000,732
BOND,ČEZ Firemní dluhopis,CEZ31,500,500.000000,0.051000,2557
BOND,High-Yield Spekulativní dluhopis,JUNK01,250,250.000000,0.095000,367
BOND,Japonský státní dluhopis,JGB10Y,4500,4500.000000,0.008000,3652
CMD,Gold,GOLD,2350.5,3,15.500000
CMD,Natural Gas,NATGAS,2.485,1,2.100000
CMD,Silver,SILVER,73.405,3,0.800000
CMD,Copper,COPPER,4.5,2,0.800000
CMD,Brent Crude Oil,BRENT,85.2,1,3.200000
CMD,WTI Crude Oil,WTI,80.5,1,3.000000
CMD,Wheat,WHEAT,620.4,0,12.500000
CMD,Corn,CORN,450.2,0,10.000000
CMD,Soybeans,SOY,1180.5,0,18.000000
CMD,Platinum,PLAT,980.3,3,8.500000
CMD,Palladium,PALL,1050.8,3,9.000000
CMD,Aluminum,ALUM,2550,2,25.000000
CMD,Coffee,COFFEE,215.3,0,5.500000
CMD,Sugar,SUGAR,20.4,0,1.200000
CMD,Cotton,COTTON,82.1,0,4.500000
CRT,Bitcoin,BTC,65430,0.150000
CRT,Binance Coin,BNB,590.2,0.180000
CRT,Ripple,XRP,0.55,0.250000
CRT,Cardano,ADA,0.45,0.280000
CRT,Ethereum,ETH,2227.8,0.220000
CRT,Solana,SOL,81.95,0.310000
CRT,Dogecoin,DOGE,0.15,0.350000
CRT,Polkadot,DOT,7.2,0.300000
CRT,Polygon,MATIC,0.75,0.280000
CRT,Litecoin,LTC,85.4,0.220000
CRT,Chainlink,LINK,14.5,0.260000
CRT,Avalanche,AVAX,35.8,0.320000
CRT,Uniswap,UNI,7.8,0.340000
CRT,Cosmos,ATOM,8.9,0.310000
STC,Alphabet Inc,GOOGL,165.2,0.0000000.000000
STC,Amazon.com Inc,AMZN,180.4,0.0000000.000000
STC,Meta Platforms,META,490.1,0.0040000.004000
STC,Tesla Inc,TSLA,195.8,0.0000000.000000
STC,Berkshire Hathaway,BRK.B,410.5,0.0000000.000000
STC,Palantir Technologies Inc,PLTR,134.7,0.0000000.000000
STC,Eli Lilly and Co,LLY,780,0.0060000.006000
STC,JPMorgan Chase,JPM,195,0.0220000.022000
STC,Visa Inc,V,280.5,0.0070000.007000
STC,Johnson & Johnson,JNJ,155.3,0.0310000.031000
STC,Walmart Inc,WMT,60.5,0.0140000.014000
STC,Procter & Gamble,PG,160.2,0.0240000.024000
STC,Mastercard Inc,MA,460.8,0.0050000.005000
STC,Exxon Mobil Corp,XOM,115.4,0.0320000.032000
STC,Coca-Cola Co,KO,62.1,0.0310000.031000
STC,PepsiCo Inc,PEP,172.4,0.0290000.029000
STC,Netflix Inc,NFLX,610.2,0.0000000.000000
STC,Pfizer Inc,PFE,28.5,0.0590000.059000
STC,Walt Disney Co,DIS,112.3,0.0000000.000000
[CLIENT]
Daniel,10000
[CONTRACT]
1
24,0.58,24,1
